address,Latitude,Longitude
Red Roof Inn - MD 3621 Plymouth Rd,42.3069755,-83.6903099
Research Musems Center 3600 Varsity Dr,42.2363128,-83.7282714
Revelli Hall MD 350 E Hoover,42.2692303,-83.7446913
Ross School of Bsns MD 701 Tappan St,42.2729691,-83.7378629
SAB 515 E Jefferson St,42.2767295,-83.7425712
School of Dentistry 1011 N University Ave,42.2790994,-83.7363897
School of Education 1 MD 610 E University Ave,42.2741707,-83.7359852
School of Nursing 426 N Ingalls,42.2850942,-83.7385567
Shapiro Undergrad Library MD 919 S University Ave,42.275615,-83.7371826
Shapiro/West Hall OB MD U of M Diag,42.2780436,-83.7382241
Social Work Building 2 MD 1080 S University Ave,42.2746798,-83.7366667
South Hall MD 701 S State St,42.2730318,-83.7404396
South Quad 1 MD 600 E Madison,42.2734708,-83.7420332
South Quad 2 MD 600 E Madison,42.2734708,-83.7420332
Space Research Building 2455 Hayward,42.2942609,-83.7114937
Stockwell Hall 324 Observatory,42.2786606,-83.7313851
Strickland's Market 1352 Geddes Ave,42.2770656,-83.7311825
Student Publications Bldg OB 420 Maynard St,42.2770607,-83.7422893
SweetWater Tea 123 W Washington,42.280314,-83.749622
Tappan Hall MD 519 S University Ave,42.2755455,-83.7392696
Taubman Health Sci Lib MD 1135 E Catherine St,42.2834398,-83.7342558
Thayer Building MD 202 S Thayer,42.2801062,-83.7397563
The Courtyards Student Apartme 1780 Broadway,42.2953033,-83.7212371
The Manor MD 1200 Earhart Rd,42.29009,-83.680965
The Meadows MD 4001 Glacier Hills Dr,42.28951,-83.6813493
The Varsity Ann Arbor 425 E Washington St,42.2806018,-83.7429059
Town Place Suites 1301 Briarwood Cir,42.2379507,-83.7491642
Trotter Multicultural Center M 428 S State St,42.2771045,-83.7410711
U of M Hospital I MD 1500 E Medical Center Dr,42.2839143,-83.7332766
U of M Hospital II MD 1150 E Medical Center Dr,42.2839143,-83.7332766
Undergrad Science Bldg 204 Washtenaw Ave,42.2799495,-83.7352549
University Commons 817 Asa Gray Dr,42.285148,-83.703907
University Health Services 207 Fletcher,42.280099,-83.7364641
University Towers Apartments 536 S Forest Ave,42.2752422,-83.7333394
Visiting Nurses 2850 S Industrial Hwy,42.2452012,-83.7311259
Washtenaw Dairy MD 602 S Ashley,42.27388,-83.750393
Weber's Hotel 3050 Jackson Rd,42.2845799,-83.7920991
Weidenbach Hall (Athletics) 1000 S State St,42.2694669,-83.7408288
Weill Hall (Gerald Ford) 735 S State St,42.2722976,-83.7403873
Weiser Hall 500 Church St,42.2768016,-83.7351188
Weiser Hall OB 500 Church St,42.2768016,-83.7351188
West Hall MD OB 1085 S University Ave,42.2757126,-83.7362278
West Quad MD 541 Thompson St,42.2748777,-83.7425259
Wolverine Towers 3003 S State St,42.2427376,-83.737263
Zaragon Place 619 E University,42.2742159,-83.7356063
Zargon West 401 Thompson St,42.2775412,-83.7430662
Zingerman's MD 422 Detroit St,42.2846822,-83.7450713
U of M School of Kinesiology,42.2784014,-83.7415198
Ruthven Building 1109  Geddes Ave,42.2783111,-83.7376407
Lorch Hall MD 611  Tappan St,42.273832,-83.7376337
Residence Inn MD 120 W Huron St,42.2819221,-83.7521738
CCCB 1 1225  Geddes,42.2777056,-83.7342877
CCCB 2 1225  Geddes,42.2777056,-83.7342877
CCCB 3 1225  Geddes,42.2777056,-83.7342877
